-999,NA,US
-997,NA,OTHER-EEMEA
-888,NA,OTHER-EEMEA
-1,NA,US
0,NA,US
1,us,US
2,ca,CA
3,uk,UK
4,af,OTHER-EEMEA
5,al,OTHER-EEMEA
6,dz,OTHER-EEMEA
7,as,OTHER-EAPAC
8,ad,OTHER-EEMEA
9,ao,OTHER-EEMEA
10,ai,OTHER-EA
11,ag,OTHER-EA
12,ar,OTHER-EA
13,am,OTHER-EEMEA
14,aw,OTHER-EA
15,au,AU
16,at,AT
17,az,OTHER-EEMEA
18,bs,OTHER-EA
19,bh,OTHER-EEMEA
20,bd,OTHER-EAPAC
21,bb,OTHER-EA
22,by,OTHER-EEMEA
23,be,BE
24,bz,OTHER-EA
25,bj,OTHER-EEMEA
26,bm,OTHER-EA
27,bt,OTHER-EAPAC
28,bo,OTHER-EA
29,ba,OTHER-EEMEA
30,bw,OTHER-EEMEA
31,br,BR
32,vg,OTHER-EA
33,bn,OTHER-EAPAC
34,bg,OTHER-EEMEA
35,bf,OTHER-EEMEA
36,bu,OTHER-EAPAC
37,bi,OTHER-EEMEA
38,kh,OTHER-EAPAC
39,cm,OTHER-EEMEA
40,cv,OTHER-EEMEA
41,ky,OTHER-EA
42,cf,OTHER-EEMEA
43,td,OTHER-EEMEA
44,cl,OTHER-EA
45,cn,CN
46,co,OTHER-EA
47,km,OTHER-EEMEA
48,zr,OTHER-EEMEA
49,cg,OTHER-EEMEA
50,ck,OTHER-EAPAC
51,cr,OTHER-EA
52,ci,OTHER-EEMEA
53,hr,OTHER-EEMEA
54,cu,OTHER-EA
55,cy,OTHER-EEMEA
56,cz,CZ
57,dk,DK
58,dj,OTHER-EEMEA
59,dm,OTHER-EA
60,do,OTHER-EA
61,ec,OTHER-EA
62,eg,OTHER-EEMEA
63,sv,OTHER-EA
64,gq,OTHER-EEMEA
65,qq,OTHER-EEMEA
66,ee,OTHER-EEMEA
67,et,OTHER-EEMEA
68,fk,OTHER-EA
69,fj,OTHER-EAPAC
70,fi,OTHER-EEMEA
71,fr,FR
72,gf,OTHER-EA
73,pf,OTHER-EAPAC
74,ga,OTHER-EEMEA
75,gm,OTHER-EEMEA
76,ge,OTHER-EEMEA
77,de,DE
78,gh,OTHER-EEMEA
79,gi,OTHER-EEMEA
80,gr,GR
81,gl,OTHER-EEMEA
82,gd,OTHER-EA
83,gp,OTHER-EA
84,gu,OTHER-EAPAC
85,gt,OTHER-EA
86,qq,OTHER-EEMEA
87,gn,OTHER-EEMEA
88,gw,OTHER-EEMEA
89,gy,OTHER-EA
90,ht,OTHER-EEMEA
91,hn,OTHER-EA
92,hk,HK
93,hu,HU
94,is,OTHER-EEMEA
95,in,IN
96,id,ID
97,ir,OTHER-EEMEA
98,iq,OTHER-EEMEA
99,ie,IE
100,il,IL
101,it,IT
102,jm,OTHER-EA
103,sj,OTHER-EEMEA
104,jp,JP
105,uk,OTHER-EEMEA
106,jo,OTHER-EEMEA
107,kz,OTHER-EAPAC
108,ke,OTHER-EEMEA
109,ki,OTHER-EAPAC
110,kp,OTHER-EAPAC
111,kr,KO
112,kw,OTHER-EEMEA
113,kg,OTHER-EEMEA
114,la,OTHER-EAPAC
115,lv,OTHER-EEMEA
116,lb,OTHER-EEMEA
117,ls,OTHER-EEMEA
118,lr,OTHER-EEMEA
119,ly,OTHER-EEMEA
120,li,OTHER-EEMEA
121,lt,OTHER-EEMEA
122,lu,LU
123,mo,OTHER-EAPAC
124,mk,OTHER-EEMEA
125,mg,OTHER-EEMEA
126,mw,OTHER-EEMEA
127,my,MY
128,mv,OTHER-EEMEA
129,ml,OTHER-EEMEA
130,mt,OTHER-EEMEA
131,mh,OTHER-EAPAC
132,mq,OTHER-EA
133,mr,OTHER-EEMEA
134,mu,OTHER-EEMEA
135,yt,OTHER-EEMEA
136,mx,OTHER-EA
137,qq,OTHER-EEMEA
138,mc,OTHER-EEMEA
139,mn,OTHER-EAPAC
140,ms,OTHER-EA
141,ma,OTHER-EEMEA
142,mz,OTHER-EEMEA
143,na,OTHER-EEMEA
144,nr,OTHER-EAPAC
145,np,OTHER-EAPAC
146,nl,NL
147,an,OTHER-EA
148,nc,OTHER-EEMEA
149,nz,NZ
150,ni,OTHER-EA
151,ne,OTHER-EEMEA
152,ng,OTHER-EEMEA
153,nu,OTHER-EAPAC
154,no,NO
155,om,OTHER-EEMEA
156,pk,OTHER-EEMEA
157,pw,OTHER-EAPAC
158,pa,OTHER-EA
159,pg,OTHER-EAPAC
160,py,OTHER-EA
161,pe,OTHER-EA
162,ph,PH
163,pl,PL
164,pt,PT
165,pr,OTHER-EA
166,qa,OTHER-EEMEA
167,ro,RO
168,ru,RU
169,rw,OTHER-EEMEA
170,sh,OTHER-EAPAC
171,qq,OTHER-EA
172,lc,IT
173,pm,OTHER-EA
174,vc,OTHER-EA
175,sm,OTHER-EEMEA
176,sa,OTHER-EEMEA
177,sn,OTHER-EEMEA
178,sc,OTHER-EEMEA
179,sl,OTHER-EEMEA
180,sg,SG
181,sk,SK
182,si,OTHER-EEMEA
183,sb,OTHER-EAPAC
184,so,OTHER-EEMEA
185,za,OTHER-EEMEA
186,es,ES
187,lk,OTHER-EAPAC
188,sd,OTHER-EEMEA
189,sr,OTHER-EEMEA
190,sj,OTHER-EEMEA
191,sz,OTHER-EEMEA
192,se,SE
193,ch,CH
194,sy,OTHER-EEMEA
195,pf,OTHER-EAPAC
196,tw,TW
197,tj,OTHER-EEMEA
198,tz,OTHER-EEMEA
199,th,TH
200,tg,OTHER-EEMEA
201,to,OTHER-EAPAC
202,tt,OTHER-EA
203,tn,OTHER-EEMEA
204,tr,TR
205,tm,OTHER-EEMEA
206,us,OTHER-EA
207,tv,OTHER-EAPAC
208,ug,OTHER-EEMEA
209,ua,UA
210,ae,OTHER-EEMEA
211,uy,OTHER-EA
212,uz,OTHER-EEMEA
213,vu,OTHER-EAPAC
214,va,IT
215,ve,OTHER-EA
216,vn,VN
217,vi,OTHER-EA
218,wf,OTHER-EAPAC
219,eh,OTHER-EEMEA
220,ws,OTHER-EAPAC
221,ye,OTHER-EEMEA
222,yu,OTHER-EEMEA
223,zm,OTHER-EEMEA
224,zw,OTHER-EEMEA
225,us,US
226,mi,OTHER-EAPAC
227,re,OTHER-EEMEA
228,me,OTHER-EEMEA
229,rs,OTHER-EEMEA
679,NA,US
1000,NA,US